1.059,1.059,"1, b2, 2",,"7, 1, b2",,"b7, 7, 1",
1.059,1.122,"1, b2, b3",,"7, 1, 2",,"6, b7, 1",
1.059,1.189,"1, b2, 3",,"7, 1, b3",,"b6, 6, 1",
1.059,1.26,"1, b2, 4",,"7, 1, 3",,"5, b6, 1",
1.059,1.335,"1, b2, b5",,"7, 1, 4",,"b5, 5, 1",
1.059,1.414,"1, b2, 5",,"7, 1, b5",,"4, b5, 1",
1.059,1.498,"1, b2, b6",,"7, 1, 5",,"3, 4, 1",
1.059,1.587,"1, b2, 6",,"7, 1, b6",,"b3, 3, 1",
1.059,1.682,"1, b2, b7",,"7, 1, 6",,"2, b3, 1",
1.059,1.782,"1, b2, 7",,"7, 1, b7",,"b2, 2, 1",
1.122,1.059,"1, 2, b3",,"b7, 1, b2",,"6, 7, 1",
1.122,1.122,"1, 2, 3",,"b7, 1, 2",,"b6, b7, 1",
1.122,1.189,"1, 2, 4",,"b7, 1, b3",,"5, 6, 1",
1.122,1.26,"1, 2, b5",,"b7, 1, 3",,"b5, b6, 1",
1.122,1.335,"1, 2, 5",suspended 2,"b7, 1, 4",,"4, 5, 1",suspended 4 (1st inversion)
1.122,1.414,"1, 2, b6",,"b7, 1, b5",,"3, b5, 1",
1.122,1.498,"1, 2, 6",,"b7, 1, 5",,"b3, 4, 1",
1.122,1.587,"1, 2, b7",,"b7, 1, b6",,"2, 3, 1",
1.122,1.682,"1, 2, 7",,"b7, 1, 6",,"b2, b3, 1",
1.189,1.059,"1, b3, 3",,"6, 1, b2",,"b6, 7, 1",
1.189,1.122,"1, b3, 4",,"6, 1, 2",,"5, b7, 1",
1.189,1.189,"1, b3, b5",diminished,"6, 1, b3",,"b5, 6, 1",
1.189,1.26,"1, b3, 5",minor,"6, 1, 3",,"4, b6, 1",
1.189,1.335,"1, b3, b6",,"6, 1, 4",,"3, 5, 1",major (1st inversion)
1.189,1.414,"1, b3, 6",,"6, 1, b5",,"b3, b5, 1",diminished (1st inversion)
1.189,1.498,"1, b3, b7",,"6, 1, 5",,"2, 4, 1",
1.189,1.587,"1, b3, 7",,"6, 1, b6",,"b2, 3, 1",
1.26,1.059,"1, 3, 4",,"b6, 1, b2",,"5, 7, 1",
1.26,1.122,"1, 3, b5",,"b6, 1, 2",,"b5, b7, 1",
1.26,1.189,"1, 3, 5",major,"b6, 1, b3",,"4, 6, 1",
1.26,1.26,"1, 3, #5",augmented,"#5, 1, 3",augmented (2nd inversion),"3, #5, 1",augmented (1st inversion)
1.26,1.335,"1, 3, 6",,"b6, 1, 4",,"b3, 5, 1",minor (1st inversion)
1.26,1.414,"1, 3, b7",,"b6, 1, b5",,"2, b5, 1",
1.26,1.498,"1, 3, 7",,"b6, 1, 5",,"b2, 4, 1",
1.335,1.059,"1, 4, b5",,"5, 1, b2",,"b5, 7, 1",
1.335,1.122,"1, 4, 5",suspended 4,"5, 1, 2",suspended 2 (2nd inversion),"4, b7, 1",
1.335,1.189,"1, 4, b6",,"5, 1, b3",minor (2nd inversion),"3, 6, 1",
1.335,1.26,"1, 4, 6",,"5, 1, 3",major (2nd inversion),"b3, b6, 1",
1.335,1.335,"1, 4, b7",,"5, 1, 4",suspended 4 (2nd inversion),"2, 5, 1",suspended 2 (1st inversion)
1.335,1.414,"1, 4, 7",,"5, 1, b5",,"b2, b5, 1",
1.414,1.059,"1, b5, 5",,"b5, 1, b2",,"4, 7, 1",
1.414,1.122,"1, b5, b6",,"b5, 1, 2",,"3, b7, 1",
1.414,1.189,"1, b5, 6",,"b5, 1, b3",diminished (2nd inversion),"b3, 6, 1",
1.414,1.26,"1, b5, b7",,"b5, 1, 3",,"2, b6, 1",
1.414,1.335,"1, b5, 7",,"b5, 1, 4",,"b2, 5, 1",
1.498,1.059,"1, 5, b6",,"4, 1, b2",,"3, 7, 1",
1.498,1.122,"1, 5, 6",,"4, 1, 2",,"b3, b7, 1",
1.498,1.189,"1, 5, b7",,"4, 1, b3",,"2, 6, 1",
1.498,1.26,"1, 5, 7",,"4, 1, 3",,"b2, b6, 1",
1.587,1.059,"1, b6, 6",,"3, 1, b2",,"b3, 7, 1",
1.587,1.122,"1, b6, b7",,"3, 1, 2",,"2, b7, 1",
1.587,1.189,"1, b6, 7",,"3, 1, b3",,"b2, 6, 1",
1.682,1.059,"1, 6, b7",,"b3, 1, b2",,"2, 7, 1",
1.682,1.122,"1, 6, 7",,"b3, 1, 2",,"b2, b7, 1",
1.782,1.059,"1, b7, 7",,"2, 1, b2",,"b2, 7, 1",
